decisions_str,ev,cv,scenarios_probs
____________________,2210,0,2210: 1.0
________________R2-l,1710,0,1710: 1.0
________________R2-h,1510,0,1510: 1.0
___________R1-l_____,1810,0,1810: 1.0
___________R1-l_R2-l,1310,0,1310: 1.0
___________R1-l_R2-h,1110,0,1110: 1.0
___________R1-h_____,1610,0,1610: 1.0
___________R1-h_R2-l,1110,0,1110: 1.0
___________R1-h_R2-h,910,0,910: 1.0
______S3____________,1460,0,1460: 1.0
______S3________R2-l,2875,0,2875: 1.0
______S3________R2-h,3700,0,3700: 1.0
______S3___R1-l_____,3296.02,0.228637658,3550: 0.898; 1060: 0.102
______S3___R1-l_R2-l,4001.6,0.128574102,4175: 0.898; 2475: 0.102
______S3___R1-l_R2-h,3906.15,0.052298967,3975: 0.898; 3300: 0.102
______S3___R1-h_____,4245.46,0.268753947,4630: 0.898; 860: 0.102
______S3___R1-h_R2-l,3940.79,0.142461947,4130: 0.898; 2275: 0.102
______S3___R1-h_R2-h,3845.34,0.065325328,3930: 0.898; 3100: 0.102
___S2_______________,1610,0,1610: 1.0
___S2___________R2-l,3050,0,3050: 1.0
___S2___________R2-h,2850,0,2850: 1.0
___S2______R1-l_____,2673.74,0.184504382,2840: 0.898; 1210: 0.102
___S2______R1-l_R2-l,2650,0,2650: 1.0
___S2______R1-l_R2-h,2450,0,2450: 1.0
___S2______R1-h_____,2473.74,0.199421421,2640: 0.898; 1010: 0.102
___S2______R1-h_R2-l,2450,0,2450: 1.0
___S2______R1-h_R2-h,2250,0,2250: 1.0
___S2_S3____________,860,0,860: 1.0
___S2_S3________R2-l,2675,0,2675: 1.0
___S2_S3________R2-h,3870,0,3870: 1.0
___S2_S3___R1-l_____,2696.02,0.279521032,2950: 0.898; 460: 0.102
___S2_S3___R1-l_R2-l,4205.7,0.154717138,4425: 0.898; 2275: 0.102
___S2_S3___R1-l_R2-h,4147.99,0.055086795,4225: 0.898; 3470: 0.102
___S2_S3___R1-h_____,3995.68,0.315094545,4420: 0.898; 260: 0.102
___S2_S3___R1-h_R2-l,4019.17,0.163027091,4240: 0.898; 2075: 0.102
___S2_S3___R1-h_R2-h,3961.46,0.058826594,4040: 0.898; 3270: 0.102
S1__________________,1960,0,1960: 1.0
S1______________R2-l,3042.39,0.347807434,3750: 0.691; 1460: 0.309
S1______________R2-h,4024,0.45932521,5260: 0.691; 1260: 0.309
S1_________R1-l_____,2856.495,0.360630641,3675: 0.613; 1560: 0.387
S1_________R1-l_R2-l,3730.465,0.494792953,5125: 0.613; 1060: 0.309; 3350: 0.078
S1_________R1-l_R2-h,3703.69,0.513520811,4990: 0.613; 860: 0.309; 4860: 0.078
S1_________R1-h_____,3560.67,0.491075698,4950: 0.613; 1360: 0.387
S1_________R1-h_R2-l,3530.465,0.522822856,4925: 0.613; 860: 0.309; 3150: 0.078
S1_________R1-h_R2-h,3503.69,0.542833953,4790: 0.613; 660: 0.309; 4660: 0.078
S1____S3____________,1210,0,1210: 1.0
S1____S3________R2-l,2884.125,0.060080765,3000: 0.691; 2625: 0.309
S1____S3________R2-h,4182.46,0.117109555,4510: 0.691; 3450: 0.309
S1____S3___R1-l_____,3046.02,0.247402937,3300: 0.898; 810: 0.102
S1____S3___R1-l_R2-l,4249.795,0.159513832,4690: 0.613; 3925: 0.285; 2600: 0.078; 2225: 0.024
S1____S3___R1-l_R2-h,4207.775,0.091479624,4490: 0.613; 3725: 0.285; 4110: 0.078; 3050: 0.024
S1____S3___R1-h_____,4252.92,0.291952822,4800: 0.613; 4380: 0.285; 610: 0.102
S1____S3___R1-h_R2-l,4093.97,0.161240454,4490: 0.613; 3880: 0.285; 2400: 0.078; 2025: 0.024
S1____S3___R1-h_R2-h,4051.95,0.082005072,4290: 0.613; 3680: 0.285; 3910: 0.078; 2850: 0.024
S1_S2_______________,1360,0,1360: 1.0
S1_S2___________R2-l,3110.95,0.066840201,3250: 0.691; 2800: 0.309
S1_S2___________R2-h,4092.56,0.243880434,4760: 0.691; 2600: 0.309
S1_S2______R1-l_____,2721.045,0.231856283,3075: 0.613; 2590: 0.285; 960: 0.102
S1_S2______R1-l_R2-l,3799.025,0.27522572,4625: 0.613; 2400: 0.309; 2850: 0.078
S1_S2______R1-l_R2-h,3772.25,0.278863034,4490: 0.613; 2200: 0.309; 4360: 0.078
S1_S2______R1-h_____,3425.22,0.363972319,4350: 0.613; 2390: 0.285; 760: 0.102
S1_S2______R1-h_R2-l,3599.025,0.29052018,4425: 0.613; 2200: 0.309; 2650: 0.078
S1_S2______R1-h_R2-h,3572.25,0.294475773,4290: 0.613; 2000: 0.309; 4160: 0.078
S1_S2_S3____________,610,0,610: 1.0
S1_S2_S3________R2-l,2476.825,0.013992142,2500: 0.691; 2425: 0.309
S1_S2_S3________R2-h,3889.49,0.046332978,4010: 0.691; 3620: 0.309
S1_S2_S3___R1-l_____,2446.02,0.308089997,2700: 0.898; 210: 0.102
S1_S2_S3___R1-l_R2-l,3970.745,0.160310099,4190: 0.613; 4175: 0.285; 2100: 0.078; 2025: 0.024
S1_S2_S3___R1-l_R2-h,3937.605,0.038357171,3990: 0.613; 3975: 0.285; 3610: 0.078; 3220: 0.024
S1_S2_S3___R1-h_____,3764.07,0.336147854,4200: 0.613; 4170: 0.285; 10: 0.102
S1_S2_S3___R1-h_R2-l,3775.02,0.168994267,3990: 0.898; 1900: 0.078; 1825: 0.024
S1_S2_S3___R1-h_R2-h,3741.88,0.040685649,3790: 0.898; 3410: 0.078; 3020: 0.024
